"URL_ID","URL","POSITIVE SCORE","NEGATIVE SCORE","POLARITY SCORE","SUBJECTIVITY SCORE","AVG SENTENCE LENGTH","PERCENTAGE OF COMPLEX WORDS","FOG INDEX","COMPLEX WORD COUNT","WORD COUNT","SYLLABLE PER WORD","PERSONAL PRONOUNS","AVG WORD LENGTH"
"bctech2036","https://insights.blackcoffer.com/automate-the-data-management-process/","35","12","0.48936169171571","0.087037036875857","12.558139534884","0.35","5.1632558139535","189","540","2.1944444444444","3","7.0740740740741"
"bctech2037","https://insights.blackcoffer.com/realtime-kibana-dashboard-for-a-financial-tech-firm/","28","16","0.27272726652893","0.067588325549019","21.7","0.26113671274962","8.7844546850998","170","651","1.9646697388633","12","6.6236559139785"
"bctech2038","https://insights.blackcoffer.com/data-management-etl-and-data-automation/","18","2","0.79999996","0.062893081563229","17.666666666667","0.26729559748428","7.1735849056604","85","318","2.059748427673","9","6.9591194968553"
"bctech2039","https://insights.blackcoffer.com/data-management-egeas/","14","2","0.749999953125","0.055363321607739","17","0.31141868512111","6.9245674740484","90","289","2.1280276816609","7","6.9826989619377"
"bctech2040","https://insights.blackcoffer.com/design-and-develop-powershell-script/","12","2","0.71428566326531","0.052434456732455","38.142857142857","0.29962546816479","15.376993044409","80","267","2.1535580524345","7","7.1161048689139"
"bctech2041","https://insights.blackcoffer.com/design-and-develop-jenkins-shared-library/","12","2","0.71428566326531","0.072164948081624","27.714285714286","0.32989690721649","11.217673048601","64","194","2.2113402061856","3","7.2938144329897"
"bctech2042","https://insights.blackcoffer.com/design-and-develop-retool-app-for-wholecell-io-and-asana-data-using-their-apis/","12","2","0.71428566326531","0.056910568874347","30.75","0.30894308943089","12.423577235772","76","246","2.1585365853659","6","7.0284552845528"
"bctech2043","https://insights.blackcoffer.com/design-and-develop-a-retool-app-that-will-show-stock-and-crypto-related-information-using-iex-api/","13","2","0.73333328444445","0.050167223912484","37.375","0.28428093645485","15.063712374582","85","299","2.0535117056856","3","6.685618729097"
"bctech2044","https://insights.blackcoffer.com/crm-monday-com-make-com-to-data-warehouse-to-klipfolio-dashboard/","17","3","0.699999965","0.052493438182432","12.7","0.33070866141732","5.2122834645669","126","381","2.1758530183727","8","7.1391076115486"
"bctech2045","https://insights.blackcoffer.com/ner-task-using-bert-with-data-in-xml-format/","13","2","0.73333328444445","0.048543689163289","18.176470588235","0.33333333333333","7.4039215686275","103","309","2.1553398058252","5","7.0873786407767"
"bctech2046","https://insights.blackcoffer.com/qualtrics-api-integration-using-python/","12","2","0.71428566326531","0.05577689220806","17.928571428571","0.30278884462151","7.2925441092772","76","251","2.1673306772908","5","7.195219123506"
"bctech2047","https://insights.blackcoffer.com/design-and-develop-mlops-framework-for-data-centric-ai/","15","3","0.66666662962963","0.0599999998","30","0.30333333333333","12.121333333333","91","300","2.1433333333333","3","7.17"
"bctech2048","https://insights.blackcoffer.com/nlp-based-approach-for-data-transformation/","13","3","0.6249999609375","0.059701492314547","24.363636363636","0.30597014925373","9.867842605156","82","268","2.115671641791","4","7.0261194029851"
"bctech2049","https://insights.blackcoffer.com/an-etl-tool-to-pull-data-from-shiphero-to-google-bigquery-data-warehouse/","19","5","0.58333330902778","0.061381074011813","19.55","0.27877237851662","7.9315089514067","109","391","2.074168797954","11","6.8388746803069"
"bctech2050","https://insights.blackcoffer.com/plaid-financial-analytics-a-data-driven-dashboard-to-generate-insights/","17","3","0.699999965","0.064935064724237","20.533333333333","0.30519480519481","8.3354112554113","94","308","2.1590909090909","4","7.1655844155844"
"bctech2051","https://insights.blackcoffer.com/recommendation-engine-for-insurance-sector-to-expand-business-in-the-rural-area/","19","3","0.72727269421488","0.062678062499493","25.071428571429","0.30769230769231","10.151648351648","108","351","2.2108262108262","4","7.2450142450142"
"bctech2052","https://insights.blackcoffer.com/data-from-crm-via-zapier-to-google-sheets-dynamic-to-powerbi/","20","2","0.81818178099174","0.07457627093364","18.4375","0.28474576271186","7.4888983050847","84","295","2.0576271186441","6","6.7694915254237"
"bctech2053","https://insights.blackcoffer.com/data-warehouse-to-google-data-studio-looker-dashboard/","13","2","0.73333328444445","0.047468354280163","19.75","0.29113924050633","8.0164556962025","92","316","2.1107594936709","11","7.0348101265823"
"bctech2054","https://insights.blackcoffer.com/crm-monday-com-via-zapier-to-power-bi-dashboard/","20","5","0.599999976","0.071225071022151","12.535714285714","0.26780626780627","5.1214082214082","94","351","2.02849002849","18","6.6267806267806"
"bctech2055","https://insights.blackcoffer.com/monday-com-to-kpi-dashboard-to-manage-view-and-generate-insights-from-the-crm-data/","26","9","0.48571427183674","0.090673574894628","12.451612903226","0.31347150259067","5.1060337623266","121","386","2.0284974093264","8","6.6683937823834"
"bctech2056","https://insights.blackcoffer.com/data-management-for-a-political-saas-application/","13","5","0.44444441975309","0.047244094364189","14.111111111111","0.31758530183727","5.7714785651794","121","381","2.1312335958005","7","6.9370078740157"
"bctech2057","https://insights.blackcoffer.com/google-lsa-ads-google-local-service-ads-etl-tools-and-dashboards/","14","3","0.64705878546713","0.056105610375889","21.642857142857","0.2970297029703","8.775954738331","90","303","2.1353135313531","3","7.0891089108911"
